文件路径,问题类型,优先级,问题描述,建议方案,工作量估算
全局,REUSE,P1,MoneyDisplay组件仅在7个文件中使用（已修复：2026-02-03）,推广到所有金额显示场景替代手动toFixed,中
全局,REUSE,P2,18处手动.toFixed(2)格式化金额（已修复：2026-02-03）,使用MoneyDisplay组件或formatMoney工具函数替代,中
全局,PERF,P2,0处使用debounce搜索输入无防抖,对搜索输入添加debounce防止频繁API调用,小
全局,PERF,P2,0处使用throttle滚动事件无节流,对滚动/resize事件添加throttle,小
全局,PERF,P3,0处使用shallowRef大对象未优化,对大型只读数据使用shallowRef减少响应式开销,小
全局,MAINT,P2,部分loading.value=false在catch而非finally中,统一在finally块中重置loading状态,小
全局,TYPE,P1,良好实践确认:0处ref(null)无类型,TypeScript类型推断正确使用,无需操作
全局,TYPE,P1,良好实践确认:0处.value!非空断言,无危险的非空断言使用,无需操作
全局,MAINT,P1,良好实践确认:996+处?可选链正确使用,防御性编程良好,无需操作
fund/otherExpense/form.vue,REUSE,P2,手动格式化余额显示(item.balance / 100).toFixed(2)（已修复：2026-02-03）,使用MoneyDisplay组件,小
business/audit/columns.ts,REUSE,P2,手动格式化totalAmount（已修复：2026-02-03）,使用MoneyDisplay组件或formatMoney,小
business/finance/writeOff/columns.ts,REUSE,P2,3处手动格式化金额列（已修复：2026-02-03）,使用MoneyDisplay组件渲染,小
analysis/comprehensive/columns.tsx,REUSE,P3,toMoney函数可提取为全局工具（已修复：2026-02-03）,考虑迁移到utils/money.ts,小
analysis/comprehensive/index.vue,REUSE,P3,重复定义toMoney函数（已修复：2026-02-03）,使用统一的金额格式化工具,小
business/finance/transfer/index.vue,REUSE,P2,手动格式化余额显示（已修复：2026-02-03）,使用MoneyDisplay组件,小
data/account/index.vue,MAINT,P3,formatBalance函数可提取（已修复：2026-02-03）,使用全局formatMoney工具,小
data/initialStock/form.vue,REUSE,P2,手动totalAmount.toFixed(2)（已修复：2026-02-03）,使用MoneyDisplay组件,小
inventory/costAdjust/form.vue,REUSE,P2,手动totalAdjustAmount.toFixed(2)（已修复：2026-02-03）,使用MoneyDisplay组件,小
other/aiEntry/columns.ts,REUSE,P2,手动格式化amount列（已修复：2026-02-03）,使用MoneyDisplay组件渲染,小
other/aiEntry/index.vue,REUSE,P2,手动totalAmount.toFixed(2)（已修复：2026-02-03）,使用MoneyDisplay组件,小
business/payment/index.vue,REUSE,P2,手动Number(cellValue).toFixed(2)（已修复：2026-02-03）,使用formatMoney工具函数,小
analysis/assets/index.vue,REUSE,P2,手动totalValue.toFixed(2)（已修复：2026-02-03）,使用MoneyDisplay组件,小
system/backup/index.vue,MAINT,P3,手动formatFileSize函数（已修复：2026-02-03）,可提取到utils/format.ts,小
login/index.vue,UX,P3,使用v-loading.fullscreen良好实践,参考
welcome/components/,UX,P2,17处v-loading使用良好,建议更多页面采用,参考
全局,PERF,P2,搜索表单无防抖可能触发频繁请求,添加useDebounceFn包装search函数,中
